,changshengEVA,Peking_University,ZQR,galgame,北大,启元实验室
changshengEVA,1.0,0.8203864653993663,0.7891167798646277,0.7833734672410088,0.7594981890823156,0.8071254220420729
Peking_University,0.8203864653993663,1.0,0.7752751335935397,0.7580339311372063,0.7996545221653212,0.8072510038087137
ZQR,0.7891167798646277,0.7752751335935397,1.0,0.7870654306101725,0.7315571430154983,0.7614892791252402
galgame,0.7833734672410088,0.7580339311372063,0.7870654306101725,1.0,0.7201036836693895,0.7505801237834566
北大,0.7594981890823156,0.7996545221653212,0.7315571430154983,0.7201036836693895,1.0,0.7807015669973434
启元实验室,0.8071254220420729,0.8072510038087137,0.7614892791252402,0.7505801237834566,0.7807015669973434,1.0
